Hydrogen,Methane,Ethane,Ethylene,Acetylene,Carbon Monoxide,Carbon Dioxide,Fault_Type,%CH4,%C2H4,%C2H2
11.0,1,0.0,0,0,39,874,0,100.0,0.0,0.0
0.0,0,0.0,0,0,11,340,0,0.0,0.0,0.0
48.0,1,0.0,0,0,75,747,0,100.0,0.0,0.0
46.0,1,0.0,0,0,67,701,0,100.0,0.0,0.0
5.0,8,3.0,0,0,82,1121,0,100.0,0.0,0.0
48.0,1,0.0,0,0,75,747,0,100.0,0.0,0.0
0.0,0,0.0,0,0,11,340,0,0.0,0.0,0.0
11.0,1,0.0,0,0,39,874,0,100.0,0.0,0.0
4.0,1,1.0,0,0,68,954,0,100.0,0.0,0.0
5.0,0,1.0,0,0,77,1336,0,0.0,0.0,0.0
2.0,2,0.0,1,1,41,920,0,50.0,25.0,25.0
7.0,9,1.0,1,0,54,1430,3,90.0,10.0,0.0
0.0,4,0.0,11,0,146,5612,0,26.666666666666668,73.33333333333333,0.0
9.0,1,0.0,1,0,121,886,0,50.0,50.0,0.0
1.0,4,6.0,1,0,30,659,2,80.0,20.0,0.0
3.0,2,1.0,0,0,28,1716,0,100.0,0.0,0.0
40.0,1,3.0,1,0,144,4239,0,50.0,50.0,0.0
0.0,0,0.0,0,0,30,896,0,0.0,0.0,0.0
24.0,1,1.0,0,0,65,854,0,100.0,0.0,0.0
40.0,1,3.0,1,0,144,4239,0,50.0,50.0,0.0
3.0,2,1.0,0,0,28,1716,0,100.0,0.0,0.0
1.0,4,6.0,1,0,30,659,2,80.0,20.0,0.0
18.0,1,0.0,0,0,75,842,0,100.0,0.0,0.0
